,adress,house_type,biarea_msq,sold_price_kr,date_sold,price_diff_%,agent,size_msq,rooms,omrade,kommun,utgangspris_kr
450,Tomtevägen 43,Villa,          70         ,2300000,2020-04-29,10,Lisenstedt Fastighetsförmedling AB,70,4,Mariedal,Vänersborg,2100000
451,Applagården 13,Villa,,3475000,2020-04-29,0,Mäklarhuset,146,7,Sandared,Borås,3475000
452,Stenportsgatan 78,Villa,          87         ,2950000,2020-04-29,23,Mäklarhuset,149,6,Dalängen,Lidköping,2400000
453,Bryggebackavägen 26,Villa,          63         ,3950000,2020-04-29,-1,RE/MAX Warberg & Co,126,7,Öckerö,Öckerö,4000000
454,Hålkekärr 207,Villa,          89         ,2700000,2020-04-29,0,Gofab Fastighetsbyrå,137,6,Ucklum,Stenungsund,2700000
455,Drejaregatan 12,Villa,          70         ,3500000,2020-04-28,8,Fastighetsbyrån,142,8,Nya Staden,Lidköping,3250000
456,Blekegatan 4A,Villa,          28         ,3250000,2020-04-28,30,Fastighetsbyrån,93,5,Lysekil,Lysekil,2500000
457,Bofinksgatan 4,Villa,          126         ,2520000,2020-04-28,10,Fastighetsbyrån,103,6,Centrala Vårgårda,Vårgårda,2300000
458,Grokareby 130,Villa,          26         ,3825000,2020-04-28,0,Fastighetsbyrån,200,6,Kareby,Kungälv,3825000
459,Rönnvägen 81,Villa,,2495000,2020-04-28,0,Fastighetsbyrån,142,6,Sjövik,Lerum,2500000
460,Pilbågsgatan 27,Villa,          122         ,3100000,2020-04-28,4,Fastighetsbyrån,166,6,Centralt,Lilla Edet,2975000
461,Kisteröd 1,Villa,          40         ,2425000,2020-04-28,5,Svensk Fastighetsförmedling,70,4,Dingle,Sotenäs,2300000
462,Sunnanvindsvägen 69,Villa,,3825000,2020-04-28,2,Svensk Fastighetsförmedling,118,4,Björndalen,Trollhättan,3750000
463,Häljeröd 280,Villa,          24         ,3700000,2020-04-28,-4,Svensk Fastighetsförmedling,199,7,Romelanda,Kungälv,3850000
464,Bygd Eksäter 1,Villa,          115         ,2515000,2020-04-28,68,Länsförsäkringar Fastighetsförmedling,88,5,Målsryd,Borås,1500000
465,Stadsskogsvägen 8,Villa,          42         ,2925000,2020-04-28,9,Svensk Fastighetsförmedling,145,6,Lidköping,Lidköping,2675000
466,Älggatan 6,Bostadsrättsvilla,,3375000,2020-04-28,6,Länsförsäkringar Fastighetsförmedling,111,4,Olseröd,Kungälv,3175000
467,Klemens väg 66,Villa,,2650000,2020-04-28,-2,Gofab Fastighetsbyrå,105,4,Höviksnäs,Tjörn,2700000
468,Sörbovägen 6,Villa,,3950000,2020-04-28,-5,Mäklarhuset,156,6,Gånghester,Borås,4150000
469,Rosenbergsgatan 7,Villa,          127         ,2100000,2020-04-27,17,Fastighetsbyrån,139,5,Katrineberg,Tibro,1800000
470,Södra Tornvägen 31,Villa,,3395000,2020-04-27,-4,Fastighetsbyrån,137,6,Lysekil,Lysekil,3525000
471,Gällsås 360,Villa,,3000000,2020-04-27,-3,Fastighetsbyrån,154,5,Skepplanda,Ale,3100000
472,Karlavägen 9,Villa,,2700000,2020-04-27,-7,Svensk Fastighetsförmedling,238,6,Tidaholm,Tidaholm,2900000
473,Tånga 616,Villa,,2000000,2020-04-27,11,Svensk Fastighetsförmedling,135,6,Hafsten,Uddevalla,1800000
474,Lilltäppan 1,Villa,          8         ,2320000,2020-04-27,-2,Svensk Fastighetsförmedling,151,5,Örslösa,Lidköping,2375000
475,Tallskogsvägen 7,Villa,          38         ,3050000,2020-04-27,13,Svensk Fastighetsförmedling,114,5,Trollhättan,Trollhättan,2700000
476,Vaberget Skackan 14,Vinterbonat fritidshus,,2500000,2020-04-27,9,SkandiaMäklarna,97,6,Karlsborg,Karlsborg,2300000
477,Vallgången 24,Villa,          136         ,3050000,2020-04-27,-10,Bostadsbutiken,136,7,Fasseröd,Uddevalla,3400000
478,Lindås 3,Villa,          135         ,1850000,2020-04-27,0,SkandiaMäklarna,104,7,Väne-Åsaka,Trollhättan,1850000
479,Berga strand 41,Vinterbonat fritidshus,          17         ,3450000,2020-04-27,-4,Gofab Fastighetsbyrå,100,4,Berga,Tjörn,3600000
480,Ärilsgatan 17,Ej specificerad villa,          85         ,2750000,2020-04-27,0,Mäklarhuset,87,4,Trandared,Borås,2750000
481,Humlelyckan 3,Villa,,3200000,2020-04-27,7,ERA,115,5,Sandsbacka,Härryda,3000000
482,Rosengången 18,Villa,,3750000,2020-04-26,8,Fastighetsbyrån,156,6,Nödinge,Ale,3475000
483,Källevägen 26,Villa,          87         ,3165000,2020-04-26,10,Fastighetsbyrån,118,5,Gånghester,Borås,2875000
484,Grohed 215,Villa,          61         ,3500000,2020-04-26,0,Hus & Hem,280,8,Grohed,Uddevalla,3500000
485,Ljungvägen 9,Villa,          20         ,2460000,2020-04-26,30,ERA,142,6,Sjömarken,Borås,1900000
486,Alprosen 18,Villa,,3700000,2020-04-25,7,Fastighetsbyrån,117,5,Rannebergen,Göteborg,3450000
487,Södra Ekhultsvägen 7,Villa,          66         ,2950000,2020-04-25,5,Länsförsäkringar Fastighetsförmedling,66,4,Nol,Ale,2800000
488,Opalvägen 7,Villa,          73         ,2350000,2020-04-25,2,Bostadsbutiken,120,5,Övre Unneröd,Uddevalla,2300000
489,Ålvägen 9,Vinterbonat fritidshus,,3280000,2020-04-25,10,Gofab Fastighetsbyrå,82,4,Slätterna,Orust,2975000
490,Ljungviksvägen 17,Villa,          71         ,2800000,2020-04-24,12,Fastighetsbyrån,107,6,Gråbo - Centralt,Lerum,2500000
491,Pepparvägen 1,Villa,,2710000,2020-04-24,43,Fastighetsbyrån,142,5,Ljungskile,Uddevalla,1900000
492,Karlslundsgatan 21,Villa,          105         ,1975000,2020-04-24,7,Fastighetsbyrån,105,6,Mösseberg,Falköping,1850000
493,Segelvägen 8,Villa,,2150000,2020-04-24,46,Fastighetsbyrån,116,4,Filsbäck,Lidköping,1475000
494,Navigatörsvägen 5,Villa,,1850000,2020-04-24,24,Svensk Fastighetsförmedling,117,4,Otterbäcken,Gullspång,1500000
495,Gökgatan 8,Villa,          103         ,2665000,2020-04-24,11,Fastighetsbyrån,103,5,Brämhult,Borås,2400000
496,Kungslena Bossgården 2,Villa,          88         ,2000000,2020-04-24,3,Svensk Fastighetsförmedling,141,5,Kungslena,Tidaholm,1950000
497,Överåsvägen 9,Villa,          30         ,2900000,2020-04-24,7,Svensk Fastighetsförmedling,133,6,Stenkullen,Lerum,2700000
498,Ällelien 12,Vinterbonat fritidshus,          33         ,2820000,2020-04-24,14,Länsförsäkringar Fastighetsförmedling,140,4,Bullaren,Tanum,2475000
499,Bockholmsvägen 5B,Villa,,3875000,2020-04-24,8,Svensk Fastighetsförmedling,145,6,Alingsås,Alingsås,3600000
500,Fjällbruden 188,Villa,          68         ,3350000,2020-04-24,3,Länsförsäkringar Fastighetsförmedling,120,5,Rannebergen,Göteborg,3250000
501,Örelidsvägen 9,Villa,          116         ,2450000,2020-04-24,-5,Mäklarhuset,116,6,Olsfors,Bollebygd,2575000
502,Skolvägen 2,Villa,          74         ,2410000,2020-04-24,5,ERA,104,4,Fristad,Borås,2300000
503,Almvägen 8,Villa,          95         ,2250000,2020-04-24,-9,Mäklarhuset,153,7,Asklanda,Borås,2475000
504,Villavägen 7,Villa,          78         ,2850000,2020-04-24,-4,ERA,98,4,Lilla Edet,Lilla Edet,2975000
505,Hemmingstorp 516,Vinterbonat fritidshus,,2350000,2020-04-23,2,Fastighetsbyrån,79,4,Hemmingstorp,Mariestad,2300000
506,Parkstigen 5,Villa,,3995000,2020-04-23,3,Fastighetsbyrån,136,4,Älvängen,Ale,3875000
507,Rönnbärsvägen 4,Villa,          99         ,2495000,2020-04-23,0,Fastighetsbyrån,103,6,Ellös,Orust,2500000
508,Lindgatan 3,Villa,          109         ,3885000,2020-04-23,0,Fastighetsbyrån,207,7,Centrum,Hjo,3875000
509,Hemsjö Åsenvägen 12,Villa,,2800000,2020-04-23,-6,Länsförsäkringar Fastighetsförmedling,145,5,Alingsås,Alingsås,2975000
510,Viskarhultsvägen 27,Villa,,2495000,2020-04-23,0,Svensk Fastighetsförmedling,116,6,Viskafors,Borås,2500000
511,Åkersliden 10,Villa,          26         ,3850000,2020-04-23,-1,ERA,190,8,Skepplanda,Ale,3900000
512,Djupviksvägen 15,Villa,          64         ,1850000,2020-04-23,23,Gofab Fastighetsbyrå,76,4,Djupvik,Tjörn,1500000
513,Nedre Kammarbergsvägen 31,Villa,          60         ,1995000,2020-04-22,0,Fastighetsbyrån,110,5,Kinna,Mark,2000000
514,Tunnlandsgatan 5,Villa,,3600000,2020-04-22,17,Fastighetsbyrån,169,5,Onsjö,Vänersborg,3075000
515,Stakebergsvägen 122,Villa,,3850000,2020-04-22,4,Svensk Fastighetsförmedling,138,5,Stenkullen,Lerum,3700000
516,Isbergs väg 5,Villa,          3         ,3900000,2020-04-22,-2,Svensk Fastighetsförmedling,142,6,Svanesund,Orust,3975000
517,Kung Borres väg 11,Villa,          145         ,4000000,2020-04-22,0,Länsförsäkringar Fastighetsförmedling,145,6,Säve,Göteborg,4000000
518,Tolleby 1A,Villa,          75         ,3100000,2020-04-22,4,Svensk Fastighetsförmedling,80,7,Bleket,Tjörn,2975000
519,Dämsjövägen 9,Villa,          69         ,2750000,2020-04-22,2,Svensk Fastighetsförmedling,69,4,Björboholm,Lerum,2700000
520,Videgränd 3,Villa,          40         ,3855000,2020-04-22,15,Svensk Fastighetsförmedling,137,5,Bohus,Ale,3350000
521,Ingegatan 2E,Villa,          49         ,3600000,2020-04-22,3,Länsförsäkringar Fastighetsförmedling,102,5,Komarken,Kungälv,3500000
522,Aspgatan 5,Villa,          30         ,3300000,2020-04-22,12,Svensk Fastighetsförmedling,121,5,Brämhult,Borås,2950000
523,Tärnavägen 17,Villa,          22         ,2625000,2020-04-22,5,Svensk Fastighetsförmedling,117,6,Fristad,Borås,2500000
524,Allmänna vägen 21,Villa,          71         ,2550000,2020-04-22,38,Länsförsäkringar Fastighetsförmedling,91,5,Sjömarken,Borås,1850000
525,Hammar 150,Villa,          65         ,1895000,2020-04-22,0,Svensk Fastighetsförmedling,95,4,Harestad,Kungälv,1900000
526,Utmarksgatan 7,Villa,          21         ,3200000,2020-04-22,2,Hus & Hem,145,5,Onsjö,Vänersborg,3125000
527,Slåttervägen 4,Villa,          4         ,2100000,2020-04-22,-3,Mäklarhuset,138,5,Sjömarken,Borås,2175000
528,Bommagatan 36,Villa,          20         ,1800000,2020-04-22,6,Broberg Mäkleri AB,178,6,Centrala Skara,Skara,1700000
529,Skogslyckevägen 20,Villa,          13         ,2775000,2020-04-22,3,Gofab Fastighetsbyrå,82,4,Svanesund,Orust,2700000
530,Rödklövervägen 25,Villa,,2300000,2020-04-21,-8,Fastighetsbyrån,96,4,Stenungsund- Tätort,Stenungsund,2500000
531,Idtjärnsgatan 46,Villa,          35         ,2570000,2020-04-21,29,Fastighetsbyrån,107,5,Rannebergen,Göteborg,2000000
532,Gunnilsevägen 22,Villa,          10         ,3590000,2020-04-21,-5,Fastighetsbyrån,140,5,Gunnilse,Göteborg,3775000
533,Sötorpavägen 7,Villa,          25         ,2500000,2020-04-21,11,Fastighetsbyrån,100,5,Gendalen Med Omnejd,Alingsås,2250000
534,Starrkärr 360,Villa,          20         ,3700000,2020-04-21,0,Svensk Fastighetsförmedling,138,5,Älvängen,Ale,3700000
535,Stekelgatan 18,Villa,          89         ,3500000,2020-04-21,0,Svensk Fastighetsförmedling,197,6,Uddevalla,Uddevalla,3500000
536,Äppleknäppsvägen 4,Villa,          97         ,2000000,2020-04-21,0,Svensk Fastighetsförmedling,112,4,Torsred,Trollhättan,2000000
537,Ormbunksvägen 13,Villa,          120         ,2900000,2020-04-21,0,Svensk Fastighetsförmedling,120,6,TROLLHÄTTAN,Trollhättan,2900000
538,Tvetgatan 289,Villa,          9         ,3700000,2020-04-21,6,Länsförsäkringar Fastighetsförmedling,130,5,Tveten,Kungälv,3500000
539,Hovby Fredriksholm 1,Villa,          11         ,3460000,2020-04-21,12,Mäklarhuset,152,5,Hovby,Lidköping,3100000
540,Bergsängsvägen 35,Villa,          118         ,3600000,2020-04-20,6,Fastighetsbyrån,118,7,Mösseberg,Falköping,3400000
541,Stommens gränd 6,Villa,          140         ,2000000,2020-04-20,6,Fastighetsbyrån,109,5,Töllsjö,Bollebygd,1875000
542,Egnahemsgatan 16,Villa,          40         ,2100000,2020-04-20,8,Fastighetsbyrån,107,5,Fredriksberg,Falköping,1950000
543,Skalbaggevägen 8,Ej specificerad villa,          91         ,3800000,2020-04-20,-5,Fastighetsbyrån,162,7,Eriksro,Trollhättan,4000000
544,Fotbollsgatan 6,Villa,          126         ,2000000,2020-04-20,11,Fastighetsbyrån,101,7,Tranemo,Tranemo,1800000
545,Stensätersvägen 4,Villa,          40         ,3600000,2020-04-20,3,Svensk Fastighetsförmedling,125,5,Aggetorp,Lerum,3500000
546,Lillängsvägen 1,Villa,          65         ,2800000,2020-04-20,18,Svensk Fastighetsförmedling,102,5,Råda,Lidköping,2375000
547,Lindåsvägen 10,Villa,          72         ,2950000,2020-04-19,-2,Fastighetsbyrån,114,5,Kapelle,Uddevalla,3000000
548,Lerbäck 42,Villa,          20         ,3000000,2020-04-19,-3,Fastighetsbyrån,166,6,Sotenäs,Sotenäs,3100000
549,Hörlycke mosse,Villa,          39         ,1950000,2020-04-19,18,Svensk Fastighetsförmedling,153,6,Lindveden,Trollhättan,1650000
550,Tångenvägen 41,Villa,,3700000,2020-04-18,-7,MäklarfirmaN,105,5,Tången,Strömstad,3975000
551,Grimmekärrsvägen 3,Villa,,4000000,2020-04-18,5,Fastighetsbyrån,172,6,Gråbo - Aggetorp,Lerum,3800000
552,Stenmansgatan 2,Villa,          34         ,3800000,2020-04-18,0,Svensk Fastighetsförmedling,74,5,Smögen,Sotenäs,3800000
553,Hällstigen 9,Ej specificerad villa,          61         ,2990000,2020-04-18,0,Fastighetsbyrån,134,6,Eriksro,Trollhättan,3000000
554,Dragered Skogsvilla,Villa,          99         ,2150000,2020-04-17,8,Fastighetsbyrån,99,5,Hyssna,Mark,2000000
555,Uddebovägen 20,Villa,,2800000,2020-04-17,-5,Fastighetsbyrån,236,5,På landet,Hjo,2950000
556,Enersbacken 572,Vinterbonat fritidshus,          41         ,2700000,2020-04-17,9,Fastighetsbyrån,109,4,Nösund,Orust,2475000
557,Skillnadsgatan 9,Villa,          37         ,3560000,2020-04-17,15,Svensk Fastighetsförmedling,120,5,Trollhättan,Trollhättan,3100000
558,Gärdesvägen 3,Villa,          117         ,2500000,2020-04-17,0,Fastighetsbyrån,117,6,Tranemo,Tranemo,2500000
559,Granvägen 7,Villa,          22         ,2100000,2020-04-17,14,Bratting Mäklarbyrå,112,6,Skultorp,Skövde,1850000
560,Mellbyvägen 22C,Villa,          45         ,3500000,2020-04-17,3,Erik Olsson Fastighetsförmedling,76,4,Partille,Partille,3400000
561,Hörviken 28,Villa,,3475000,2020-04-17,0,Svensk Fastighetsförmedling,97,4,Lidköping,Lidköping,3475000
562,Rapidgatan 7,Villa,,1800000,2020-04-17,7,Länsförsäkringar Fastighetsförmedling,115,5,Anneborg,Falköping,1675000
563,Stora Bräcke 310,Villa,,1900000,2020-04-17,1,Svensk Fastighetsförmedling,320,13,Ånimskog,Åmål,1875000
564,Hededalsvägen 10,Villa,          59         ,2150000,2020-04-17,-2,Mäklarhuset,59,4,Tubbared,Bollebygd,2200000
565,Smedjegatan 149,Villa,          6         ,1890000,2020-04-16,13,Fastighetsbyrån,131,5,Vara,Vara,1675000
566,Bergstigen 1,Villa,          86         ,1770000,2020-04-16,1,Fastighetsbyrån,90,4,Vargön,Vänersborg,1750000
567,Lindgatan 27,Villa,          23         ,2200000,2020-04-16,0,Svensk Fastighetsförmedling,152,6,Sollebrunn,Alingsås,2200000
568,Ingetorp 190,Villa,          12         ,2860000,2020-04-16,10,SkandiaMäklarna,70,4,Kode,Kungälv,2600000
569,Lindenavägen 19,Villa,,2800000,2020-04-16,2,Svensk Fastighetsförmedling,125,4,LIDKÖPING,Lidköping,2750000
570,Rinnela 401,Villa,          88         ,2400000,2020-04-16,5,Länsförsäkringar Fastighetsförmedling,119,6,Svenshögen,Stenungsund,2275000
571,Rödbo Stafettgata 13,Villa,          90         ,3850000,2020-04-16,7,ERA,119,5,Göteborg,Göteborg,3600000
572,Lunnevägen 16C,Villa,          7         ,3430000,2020-04-16,2,Mäklarhuset,103,4,Halvorstorp,Trollhättan,3375000
573,Strandstaden 43,Villa,          11         ,2700000,2020-04-15,9,Fastighetsbyrån,128,5,Fagersanna/ransberg,Tibro,2475000
574,Färgesundsvägen 37,Villa,,2500000,2020-04-15,5,Fastighetsbyrån,58,5,Hjälmared,Alingsås,2375000
575,Knopvägen 17,Villa,,3175000,2020-04-14,-1,Fastighetsbyrån,122,4,Sjölyckan,Mariestad,3200000
576,Varpgatan 26,Villa,          57         ,2960000,2020-04-14,35,Fastighetsbyrån,150,6,Skoftebyn,Trollhättan,2200000
577,Söderängsgatan 10,Villa,          36         ,4000000,2020-04-14,1,Mäklarhuset,185,6,Storängen,Borås,3950000
578,Linnégatan 27,Villa,          58         ,3000000,2020-04-13,3,Mäklarhuset,163,6,Mösseberg,Falköping,2925000
579,Hunnebo Stycket 3,Villa,          75         ,2310000,2020-04-10,16,Fastighetsbyrån,144,6,Hunnebostrand,Sotenäs,2000000
580,Ryttarevägen 7,Villa,,3700000,2020-04-10,-3,Fastighetsbyrån,235,9,Velanda,Trollhättan,3825000
581,Gistad Stigbergsliden 1,Villa,          70         ,1995000,2020-04-10,0,Fastighetsbyrån,70,5,Tossene,Sotenäs,2000000
582,Björkedalsgatan 16,Villa,          86         ,3350000,2020-04-10,8,Länsförsäkringar Fastighetsförmedling,93,4,Strömslund,Trollhättan,3100000
583,Nordhamnen 316,Vinterbonat fritidshus,,2400000,2020-04-09,5,Fastighetsbyrån,72,4,Henån,Orust,2275000
584,Fönhult 5,Villa,          80         ,1955000,2020-04-09,31,Fastighetsbyrån,130,6,Torestorp,Mark,1500000
585,Söbackevägen 11,Villa,          96         ,3295000,2020-04-09,0,Fastighetsbyrån,130,6,Stenungsund- Tätort,Stenungsund,3300000
586,Krokusvägen 8,Villa,          116         ,3100000,2020-04-09,8,Svensk Fastighetsförmedling,138,8,Ulricehamn,Ulricehamn,2875000
587,Älgvägen 47,Villa,          137         ,2115000,2020-04-09,32,Fastighetsbyrån,99,4,Vargön,Vänersborg,1600000
588,Överbygatan 3,Villa,,1770000,2020-04-09,18,Länsförsäkringar Fastighetsförmedling,117,5,Åttagården,Falköping,1500000
589,Lyckogången 5,Ej specificerad villa,          103         ,2175000,2020-04-09,15,Svensk Fastighetsförmedling,107,5,Borås,Borås,1900000
590,Apelgatan 5,Villa,          59         ,3750000,2020-04-09,0,Svensk Fastighetsförmedling,134,5,Alingsås,Alingsås,3750000
591,Norra Kungsvägen 27,Villa,          90         ,3495000,2020-04-09,0,Svensk Fastighetsförmedling,300,10,Tidaholm,Tidaholm,3500000
592,Lövåsvägen 23,Villa,          57         ,3525000,2020-04-09,7,Mäklarhuset,280,10,Sandared,Borås,3300000
593,Ängarnas väg 11,Villa,          6         ,3900000,2020-04-09,-5,ERA,130,5,Nödinge,Ale,4100000
594,Ekbacken 14,Villa,          33         ,2250000,2020-04-09,-3,Gofab Fastighetsbyrå,154,7,Varekil,Orust,2325000
595,Oryddalsvägen 15,Villa,          43         ,2610000,2020-04-08,19,Fastighetsbyrån,82,5,Floda,Lerum,2200000
596,Blåklintsvägen 3,Villa,          55         ,2410000,2020-04-08,10,Fastighetsbyrån,115,5,Henån,Orust,2200000
597,Stenhult Skogslyckan 1,Villa,          21         ,2200000,2020-04-08,0,Fastighetsbyrån,144,6,Överlida,Svenljunga,2200000
598,Snasenvägen 27,Villa,,3500000,2020-04-08,4,Länsförsäkringar Fastighetsförmedling,246,5,Kvarnabo,Alingsås,3375000
599,Brobacka Solbacka,Villa,,2600000,2020-04-08,16,Svensk Fastighetsförmedling,110,4,Stöpen,Skövde,2250000
600,Finska gatan 19,Villa,          113         ,3150000,2020-04-08,-6,Länsförsäkringar Fastighetsförmedling,118,7,Tegelbruket,Alingsås,3350000
601,Yrvädersgränd 18,Villa,,2310000,2020-04-08,16,Svensk Fastighetsförmedling,119,4,Fasseröd,Uddevalla,2000000
602,Lilla Fjellsholmen 62,Vinterbonat fritidshus,,2600000,2020-04-08,-60,Gofab Fastighetsbyrå,505,5,Lilla Fjellsholmen,Kungälv,6500000
603,Fuxernavägen 38,Villa,          60         ,1750000,2020-04-08,21,ERA,90,4,Fuxerna,Lilla Edet,1450000
604,Lillaskog Solhäll,Villa,          59         ,2500000,2020-04-07,25,Fastighetsbyrån,100,4,Hyssna,Mark,2000000
605,Dubbgränd 4,Villa,          80         ,1850000,2020-04-07,19,Fastighetsbyrån,80,6,Brastad,Lysekil,1550000
606,Kavlanda 561,Villa,          25         ,1975000,2020-04-07,0,Svensk Fastighetsförmedling,50,5,Uddevalla,Uddevalla,1975000
607,Nämndemansgärdet 3,Villa,          2         ,3660000,2020-04-07,-1,Länsförsäkringar Fastighetsförmedling,84,4,Gunnilse,Göteborg,3700000
608,Lokes väg 7,Villa,          100         ,3700000,2020-04-07,-6,Mäklarhuset,122,8,Bollebygd,Bollebygd,3925000
609,Backa 148A & 148B,Gård,          6         ,3500000,2020-04-07,10,ERA,131,6,Lödöse,Lilla Edet,3175000
610,Västra Granbäcksvägen 26,Villa,          70         ,3550000,2020-04-06,-6,Fastighetsbyrån,186,6,Kråkered,Borås,3775000
611,Berghemsvägen 2,Villa,          30         ,1900000,2020-04-06,-4,Fastighetsbyrån,80,5,Bollebygd,Bollebygd,1975000
612,Pussen Askebo 495,Villa,          27         ,2400000,2020-04-06,-4,Länsförsäkringar Fastighetsförmedling,116,5,Ryd,Ale,2500000
613,Svampvägen 1,Villa,          128         ,3600000,2020-04-06,9,Svensk Fastighetsförmedling,158,8,Dalsjöfors,Borås,3300000
614,Bäckavägen 40,Gård,,2000000,2020-04-06,11,Svensk Fastighetsförmedling,79,4,Mariestad,Mariestad,1800000
615,Stenbacksvägen 6,Villa,          28         ,3800000,2020-04-05,-5,HusmanHagberg,100,4,Centrala Hisingen Helgered,Göteborg,4000000
616,Kärleksstigen 10,Villa,          132         ,2795000,2020-04-05,4,Länsförsäkringar Fastighetsförmedling,114,6,Timmersdala,Skövde,2700000
617,Stomgärdesvägen 14,Villa,          68         ,3380000,2020-04-04,13,Svensk Fastighetsförmedling,148,6,Sjuntorp,Trollhättan,3000000
618,Sandhemsvägen 172,Villa,,2950000,2020-04-04,6,Mäklarhuset,150,7,Sandhem,Trollhättan,2775000
619,Lyse-Lycke 210,Villa,          83         ,2200000,2020-04-03,-7,Fastighetsbyrån,87,5,Lyse,Lysekil,2375000
620,Ekebovägen 4,Vinterbonat fritidshus,,2840000,2020-04-03,-1,Fastighetsbyrån,115,4,Svanesund,Orust,2875000
621,Villavägen 30,Villa,          57         ,2250000,2020-04-03,15,Svensk Fastighetsförmedling,143,7,Ström,Lilla Edet,1950000
622,Mellby 202,Villa,          10         ,1750000,2020-04-03,21,Lysekilsmäklarna AB,55,4,Brodalen,Lysekil,1450000
623,Bergsvägen 8,Villa,          100         ,2680000,2020-04-03,12,Svensk Fastighetsförmedling,105,5,Kissleberg,Uddevalla,2400000
624,Bäckedalsgatan 14,Villa,          27         ,2300000,2020-04-03,19,Mäklarhuset,138,6,Mösseberg,Falköping,1925000
625,Ranneberg 315,Villa,,2210000,2020-04-03,1,ERA,103,4,Kollanda,Ale,2200000
626,Valhallavägen 2,Villa,          67         ,2400000,2020-04-02,-11,Fastighetsbyrån,135,5,Centrum,Uddevalla,2700000
627,Richard Wetterholms gata 4,Villa,          6         ,2750000,2020-04-02,-3,Fastighetsbyrån,131,6,Hjo,Hjo,2825000
628,Korpvägen 9,Villa,,2700000,2020-04-02,-5,Fastighetsbyrån,156,6,Ed,Dals-Ed,2850000
629,Storgatan 64,Villa,          72         ,2200000,2020-04-02,10,Fastighetsbyrån,72,4,Skärhamn,Tjörn,2000000
630,Förmansgatan 3,Villa,          75         ,3400000,2020-04-02,-3,Svensk Fastighetsförmedling,75,7,Kungshamn,Sotenäs,3500000
631,Krusmyntagången 8,Ej specificerad villa,          80         ,1775000,2020-04-02,-11,Fastighetsbyrån,80,4,Hulta,Borås,2000000
632,Kvarndalsvägen 4,Villa,,2075000,2020-04-02,12,Lysekilsmäklarna AB,122,5,Rixö,Lysekil,1850000
633,Stamgatan 2,Villa,          140         ,2750000,2020-04-02,-2,Svensk Fastighetsförmedling,123,5,Lidköping,Lidköping,2800000
634,Löstorp 120,Villa,          100         ,3620000,2020-04-02,14,ERA,93,6,Kareby,Kungälv,3175000
635,Wallströmsliden 11,Villa,,2700000,2020-04-02,-6,ERA,91,4,Lilla Edet,Lilla Edet,2875000
636,Ådalsgatan 10,Villa,          68         ,3670000,2020-04-01,0,Svensk Fastighetsförmedling,114,6,UDDEVALLA,Uddevalla,3675000
637,Kniparedsvägen 1,Villa,          50         ,4000000,2020-04-01,1,Länsförsäkringar Fastighetsförmedling,127,5,Knipared,Göteborg,3950000
638,Gubberovägen 17,Villa,,3100000,2020-04-01,13,Svensk Fastighetsförmedling,67,4,Fagerfjäll,Tjörn,2750000
639,Byvägen 16,Villa,          73         ,2550000,2020-04-01,2,Svensk Fastighetsförmedling,94,5,Nol,Ale,2500000
640,Björnåsvägen 18,Villa,          78         ,3250000,2020-04-01,0,Bjurfors,80,5,Lindome - Björnåsen,Mölndal,3250000
641,Nordövägen 55,Villa,          28         ,3645000,2020-04-01,4,Länsförsäkringar Fastighetsförmedling,95,5,Donsö,Göteborg,3500000
642,Linnégatan 16,Villa,          62         ,2200000,2020-04-01,-8,Bostadsbutiken,124,6,Centralt,Uddevalla,2400000
643,Jakobsgatan 9,Villa,          100         ,2590000,2020-04-01,-7,Mäklarhuset,234,6,Centrum,Falköping,2775000
644,Bengt Ivarsgatan 13,Villa,,2850000,2020-04-01,10,ERA,119,4,Lilla Edet,Lilla Edet,2600000
645,Parkgatan 18,Villa,,2150000,2020-03-31,-14,Fastighetsbyrån,190,4,Nossebro,Essunga,2500000
646,Lindveden Sandbacken 8,Villa,,3500000,2020-03-31,0,Fastighetsbyrån,131,4,Velanda,Trollhättan,3500000
647,Mimosavägen 35,Villa,,3800000,2020-03-31,7,Länsförsäkringar Fastighetsförmedling,126,5,Halvorstorp,Trollhättan,3550000
648,Tors väg 18,Villa,          17         ,4000000,2020-03-31,7,Fastighetsbyrån,148,6,Floda - Berghult,Lerum,3750000
649,Sjöby österväg 13,Villa,          187         ,2490000,2020-03-31,0,Svensk Fastighetsförmedling,216,8,Horred,Mark,2500000
650,Timotejvägen 5,Villa,          133         ,4000000,2020-03-31,-6,Lundin Fastighetsbyrå,99,4,Lindome,Mölndal,4250000
651,Eklidsvägen 1,Villa,          60         ,2400000,2020-03-31,20,HusmanHagberg,152,8,Hällevadsholm,Munkedal,2000000
652,Länghemsgatan 16,Villa,          102         ,2300000,2020-03-30,15,Fastighetsbyrån,116,6,Trandared,Borås,2000000
653,Lyckan 2,Villa,          60         ,3630000,2020-03-30,1,Länsförsäkringar Fastighetsförmedling,111,7,Komarken,Kungälv,3600000
654,Höjdenvägen 160,Villa,          34         ,3775000,2020-03-30,0,Fastighetsbyrån,110,4,Höjden,Lerum,3775000
655,Villa Gransäter - Lyckornavägen 30,Villa,,3550000,2020-03-29,8,Fastighetsbyrån,125,5,Lyckorna,Uddevalla,3275000
656,Halna Bygården 63,Villa,,1820000,2020-03-28,22,Fastighetsbyrån,180,6,Töreboda - Halna,Töreboda,1500000
